channel_name,video_id,Date,Time,duration_seconds,views,likes,comments,shorts,title,content_type
RJ Karishma,aoq-ylm-llc,6/11/2023,8:05:16 AM,60,"4,510,883.00","271,011.00",1390,Yes,kabhi mere ghar party mai aaye toh ye yaad rakhna #shorts #rjkarishma,"Family / Relatable, Character / Micro Comedy, Daily Life / Emotions"
RJ Karishma,T9x0FR9dhiI,5/30/2023,4:00:27 PM,60,"3,336,358.00","195,746.00",608,Yes,coaching wala pyaar #shorts #rjkar,Romance / Relationships
RJ Karishma,ykP6JFxkjS4,5/26/2023,4:12:18 AM,60,"24,686,851.00","1,153,018.00",3312,Yes,bachpan ka pyaar #shorts #rjkarishma,"Character / Micro Comedy, Romance / Relationships"
RJ Karishma,JUpxE0WlXjU,5/21/2023,6:10:34 AM,60,"26,252,067.00","1,205,233.00",7038,Yes,when you’ve guests at home #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,72XAKXha9L4,5/12/2023,4:19:56 AM,60,"7,662,828.00","461,403.00",1591,Yes,chapter no fourrrrrrrrrrrrrrrrrrrrr #shorts #rjkarishma,Character / Micro Comedy
RJ Karishma,AnKY3oH_TK8,5/8/2023,4:31:08 AM,60,"13,720,517.00","814,897.00",1599,Yes,halo baar se good morning bolna mar bhoolna #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,5ONjThj2Gtc,5/1/2023,4:55:19 AM,59,"6,685,394.00","345,770.00",588,Yes,damaad ji in the house #rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,QarqubOHCtU,4/27/2023,5:51:54 AM,60,"38,085,567.00","1,776,822.00",3441,Yes,kuch bhi bolna hai aur kabhi bolna hai…#rjkarishma #shorts,Character / Micro Comedy
RJ Karishma,6UpnSMBpQC8,4/22/2023,8:07:03 AM,60,"9,063,632.00","523,967.00",1669,Yes,aha jau mai yaar…ye bata do 😭😭#rjkarishma #comedy #shorts,"Character / Micro Comedy, Comedy / Funny"
RJ Karishma,xVP4rEPPD8g,4/18/2023,6:04:10 AM,60,"10,792,666.00","671,848.00",1079,Yes,babies calm down,Other
